code,year,ind,Audit_firm,Auditor,Kam_num,Ind_spec,Length_1,Specificity1_1,Specificity2,Similarity,Big4,Big8,Audit_tenure,Audit_spec1,Gender,Auditor_tenure,Auditor_spec1,Partner,Ccp,Degree,Rep,Major,License,Roa,Bm,Quick,Leverage,Recvinv,Otherrec,Size,Growth,Loss,Age,Cfo,Audittype,Audit_spec2,Auditor_spec2,Length_2,Specificity1_2
40,2018,D44,中兴财光华,王雅栋,3,0,7.695758,5.1929569,0.08185539,0.279,0,0,3,0,1,5,0,0,0,0,0,0,1,0.032723,3.20211,1.33538,0.576703,0.19587505,0.02960838,24.261992,0.0670597,0,24,-0.11135733,1,0,0,6.5971457,4.0943446
42,2017,K70,德勤华永,苏敏,4,1,7.6362696,5.1179938,0.08059846,0.432125,1,0,1,1,1,14,1,0,0,1,0,1,1,0.013959,4.04254,0.38917,0.842186,0.65053728,0.00605218,24.498779,0.06634977,0,23,-0.11884615,1,0,0,6.2499752,3.7316995
42,2018,K70,德勤华永,张敏,3,2,7.3938783,4.8520303,0.07872079,0.5754,1,0,2,1,1,2,0,0,1,1,0,0,1,0.009011,6.17351,0.522228,0.833525,0.56242551,0.00906962,24.553009,-0.0822859,0,24,0.06517997,1,0,0,6.295266,3.753418
43,2017,K70,致同,龙娇,2,0,7.1155821,4.8441871,0.10316816,0.41873333,0,1,1,0,1,8,1,0,1,1,1,1,1,-0.001817,2.95144,0.621403,0.759415,0.29501175,0.03662338,23.673692,-0.0678824,1,23,0.13406431,1,0,0,6.4224349,4.1510399
43,2018,K70,致同,龙娇,3,1,7.4223737,4.9416424,0.08368201,0.28064444,0,1,2,0,1,9,1,0,1,1,1,1,1,0.062255,2.65303,0.995945,0.630899,0.18014352,0.03229333,23.306179,0.12932098,0,24,0.09678874,1,0,0,6.3237614,3.8430301
45,2017,C39,中勤万信,兰滔,2,1,6.4393504,3.871201,0.07667732,0.37633333,0,0,7,0,0,3,0,1,0,1,0,0,1,0.017556,0.882763,5.20696,0.160336,0.11156972,0.00308074,22.157337,0.23146841,0,23,-0.00679705,1,0,0,5.7462032,3.1780538
45,2018,C39,中勤万信,刘儒,2,1,6.4199949,3.3672958,0.04723127,0.70525,0,0,8,0,0,2,0,0,0,0,0,0,1,-0.013488,1.62973,2.50044,0.251066,0.2096047,0.00321417,22.253488,-0.13770427,1,24,-0.09969128,1,0,0,5.7268477,2.6741486
46,2017,K70,立信,邝荣达,5,1,8.0245349,5.1761497,0.05793781,0.28782833,0,1,7,1,0,3,1,0,0,1,0,0,1,0.01647,4.8441,0.570108,0.85357,0.46110262,0.00264781,25.95851,-0.49392922,0,23,-0.10255885,1,1,1,6.415097,3.5667118
46,2018,K70,立信,李斌华,5,1,7.9848034,4.9628446,0.04870572,0.42924476,0,1,8,1,0,8,1,0,1,1,0,1,1,0.004871,7.16021,0.521112,0.865957,0.44283513,0.00736618,26.08031,-0.40281154,0,24,0.04340725,1,1,0,6.3753655,3.3534067
49,2017,C38,大华,赖敦宏,2,2,7.5812098,5.2933048,0.10147884,0.73406667,0,1,7,1,0,1,0,0,0,1,0,0,1,0.047745,0.937662,0.789003,0.761753,0.71442352,0.00549862,22.75392,0.43115377,0,22,-0.05481673,1,0,0,6.8880626,4.6001576
49,2018,C38,大华,赖敦宏,2,2,7.6138187,5.241747,0.09328727,0.75551364,0,1,8,1,0,2,0,0,0,1,0,0,1,0.05958,1.49872,0.807055,0.743297,0.71442352,0.02058034,22.900517,0.38148867,0,23,0.01384812,1,0,0,6.9206715,4.5485998
50,2017,C39,致同,龙娇,2,0,6.9819347,4.7535902,0.10770659,0.41284722,0,1,1,0,1,8,1,0,1,1,1,1,1,0.027222,1.07375,0.946889,0.511848,0.16636782,0.01184852,24.112804,0.30509624,0,22,0.06479113,1,0,0,6.2887875,4.060443
50,2018,C39,致同,赵书曼,3,0,7.4366173,5.2781147,0.11549794,0.52822857,0,1,2,0,1,2,1,0,1,1,0,0,1,0.016388,2.98809,0.601555,0.566855,0.15146389,0.0010077,24.818227,1.063268,0,23,0.05938367,1,0,0,6.338005,4.1795024
55,2017,C33,致同,胡高升,2,1,7.2751723,4.4659081,0.06024931,0.38133333,0,1,6,0,0,12,1,0,0,1,1,1,1,0.150949,1.24771,1.16909,0.575245,0.35932216,0.00748488,22.754754,-0.29886664,0,21,0.07315439,1,0,1,6.5820251,3.7727609
56,2018,K70,立信,王熙,2,1,7.0604764,4.6249728,0.08755365,0.3733619,0,1,7,1,1,3,1,0,0,1,0,0,1,0.008952,2.69824,1.28775,0.561924,0.01426326,0.03784021,23.307629,0.35148733,0,22,0.01460088,1,1,0,6.3673292,3.9318256
58,2018,L72,瑞华,周学春,2,1,7.1716568,4.4067192,0.06298003,0.74721667,0,1,1,0,0,18,0,0,0,1,0,0,1,0.003303,1.1019,0.808781,0.656307,0.3822554,0.0162136,22.687298,-0.18953145,0,22,0.02352328,1,0,0,6.4785096,3.7135721
59,2017,C25,瑞华,薛珍琴,2,1,6.5042882,4.7095302,0.16119403,0.34,0,1,5,1,1,11,1,0,0,0,0,0,1,0.062682,2.03167,0.519155,0.591054,0.14314121,0.00030141,24.156225,0.15839223,0,20,0.09574359,1,1,1,5.811141,4.016383
59,2018,C25,瑞华,陈秋兰,3,1,7.3620106,5.0689042,0.10095238,0.741,0,1,6,1,1,2,1,0,0,1,0,1,1,0.034618,3.41667,1.29301,0.576934,0.13809615,0.00100611,24.203295,0.08808001,0,21,0.07310852,1,1,0,6.2633983,3.9702919
60,2017,C32,瑞华,徐碧文,2,0,6.82546,4.1271344,0.06731813,0.77383333,0,1,5,1,0,5,0,0,0,1,0,0,1,0.057955,0.709828,0.894671,0.448532,0.14372935,0.00576909,23.660778,0.25947569,0,20,0.13086351,1,1,0,6.1323129,3.4339872
60,2018,C32,中审众环,陈伟权,2,0,6.8741985,4.2626799,0.07342296,0.356,0,0,1,0,0,1,0,0,0,0,0,0,1,0.04663,1.37991,0.775169,0.450591,0.14021556,0.00714412,23.694005,0.05255669,0,21,0.10108354,1,0,0,6.1810513,3.5695327
61,2017,L72,大华,刘国军,2,0,7.3098815,5.0238805,0.10167224,0.3985,0,1,5,1,0,4,1,0,0,1,0,0,1,0.003246,1.44964,0.439715,0.659883,0.03070941,0.0403694,23.65943,0.21098299,0,20,0.04095713,1,1,1,6.6167343,4.3307333
61,2018,L72,立信,毛彦波,2,0,7.2997974,4.9836066,0.09864865,0.36733333,0,1,1,1,0,6,0,0,1,1,0,1,1,0.005275,2.30851,0.436389,0.653134,0.03494151,0.04446048,23.667688,-0.05895713,0,21,0.06565493,1,1,0,6.6066502,4.2904594
62,2017,F51,天健,林利,5,0,7.7549103,5.2574954,0.08229747,0.72939333,0,1,2,1,1,5,1,0,0,0,0,0,1,0.05332,0.505526,1.00243,0.477586,0.3539391,0.00556751,22.871008,0.49657007,0,20,0.05027324,1,1,0,6.1454724,3.6480575
66,2018,C39,立信,顾欣,1,1,6.6970342,3.4657359,0.03950617,0.75672367,0,1,1,1,0,3,1,0,0,1,0,0,1,0.066014,1.1498,1.04279,0.584406,0.30941891,0.00399846,23.495994,0.0528719,0,21,0.00280336,1,1,1,6.6970342,3.4657359
68,2017,C39,大华,刘国平,2,1,6.8178306,4.6634391,0.11597374,0.37620261,0,1,6,1,0,0,1,0,0,1,0,0,1,0.011643,0.551508,0.682929,0.610299,0.09252397,0.01416776,21.754205,0.38770411,0,20,0.00637247,1,1,1,6.1246834,3.9702919
68,2018,C39,大华,刘国平,2,0,7.1188262,4.6913479,0.08825911,0.7669304,0,1,7,1,0,1,1,0,0,1,0,0,1,-0.040564,0.804909,0.658903,0.728095,0.06281794,0.01991592,21.959809,-0.49392922,1,21,-0.01440428,1,1,1,6.4256791,3.9982007
69,2017,K70,瑞华,申玲芝,2,1,6.9744789,3.871201,0.04490178,0.37537912,0,1,5,1,1,2,1,0,0,1,0,1,1,0.042851,3.1215,0.595395,0.698911,0.48717378,0.05108021,26.105295,0.19334572,0,20,-0.03540893,1,1,1,6.2813317,3.1780538
69,2018,K70,瑞华,申玲芝,2,1,7.0958932,3.8501476,0.03893952,0.36658889,0,1,6,1,1,3,1,0,0,1,0,1,1,0.038394,5.64665,0.511024,0.737692,0.54585146,0.10639592,26.16438,0.13700875,0,21,-0.03394064,1,1,1,6.402746,3.1570004
70,2017,C38,瑞华,周学春,2,1,6.8669333,4.3438054,0.08020833,0.74543421,0,1,5,1,0,17,0,0,0,1,0,0,1,0.048884,1.03944,0.906461,0.610373,0.55886331,0.01281432,22.529436,0.18659544,0,17,0.04155284,1,0,0,6.1737861,3.6506582
70,2018,C38,天职国际,扶交亮,3,1,7.4977617,5.0238805,0.08425721,0.77349683,0,1,1,0,0,19,0,0,0,0,0,1,1,0.041464,1.69669,0.918755,0.634459,0.55647381,0.01041586,22.745222,0.04255871,0,18,-0.010742,1,0,0,6.3991494,3.9252682
89,2017,G56,瑞华,秦昌明,1,1,6.1944054,3.5263605,0.06938776,0.734,0,1,5,0,0,14,0,0,0,0,0,1,1,0.051462,0.735181,2.00688,0.144605,0.02969261,0.00030533,23.297165,0.0936991,0,19,0.08258125,1,0,0,6.1944054,3.5263605
90,2017,E48,瑞华,王焕森,2,1,7.0724219,4.0430513,0.04834606,0.3739,0,1,5,1,1,13,0,0,0,1,1,0,1,0.023194,2.14479,0.375752,0.74455,0.71442352,0.0262868,23.973357,0.08706304,0,18,-0.0610349,1,0,0,6.3792747,3.3499041
90,2018,E48,天健,夏姗姗,2,2,7.0370276,4.6728288,0.0940246,0.75556667,0,1,1,1,1,1,0,0,0,1,0,0,1,0.024428,4.8007,0.457449,0.724716,0.70459702,0.00804316,24.18088,0.51260723,0,19,-0.01552464,1,0,0,6.3438804,3.9796817
96,2017,F51,瑞华,邱诗鹏,2,1,6.5971457,4.3438054,0.10504775,0.72766667,0,1,5,0,0,1,0,0,0,0,0,0,1,0.060702,0.365774,11.3326,0.064367,0.01426326,0.00169085,21.660599,0.37352671,0,17,0.03200534,1,0,0,5.9039985,3.6506582
96,2018,F51,瑞华,刘海曼,2,1,6.664409,4.3040651,0.09438776,0.76166667,0,1,6,0,1,2,0,0,0,1,0,0,1,0.042204,0.541962,11.9388,0.064367,0.01426326,0.00133184,21.696671,0.33062328,0,18,0.02950865,1,0,0,5.9712618,3.6109179
99,2017,G56,普华永道中天,程武良,1,1,6.5581978,3.988984,0.07659574,0.773,1,0,2,1,0,3,0,0,1,1,1,0,1,0.017003,1.02829,1.69007,0.455037,0.13262623,0.00944948,22.449852,0.0834833,0,17,-0.01324698,1,1,0,6.5581978,3.988984
99,2018,G56,普华永道中天,程武良,2,2,7.2668273,5.0875963,0.11312849,0.74133333,1,0,3,1,0,4,0,0,1,1,1,0,1,0.028101,1.65687,1.93785,0.434482,0.1697487,0.03168328,22.457319,0.12295179,0,18,0.04124752,1,1,0,6.5736802,4.3944492
100,2017,C39,大华,张媛媛,3,0,7.5016345,4.7791235,0.06570955,0.75027106,0,1,7,1,1,8,1,1,1,1,0,1,1,0.022114,3.04115,0.929435,0.662227,0.17276708,0.02404077,25.800275,0.04792719,0,13,0.05745452,1,1,1,6.4030222,3.6805112
100,2018,C39,大华,李秉心,3,1,7.6577553,4.4773368,0.04156826,0.76263833,0,1,8,1,0,23,1,1,1,1,1,0,0,0.021089,5.80673,0.766405,0.684216,0.17374785,0.02967037,25.984732,0.01598,0,14,0.05440113,1,1,1,6.559143,3.3787245
150,2017,Q83,中审众环,汤家俊,1,1,6.1696107,3.4965076,0.06903766,0.765,0,0,1,1,0,12,0,1,0,0,0,0,1,0.024188,0.556474,0.671914,0.68845,0.13277696,0.0703302,22.75408,0.63227395,0,17,0.00564056,1,0,0,6.1696107,3.4965076
150,2018,Q83,中审众环,廖利华,2,1,7.185387,4.8121844,0.09318182,0.345,0,0,2,1,0,10,0,1,0,0,0,0,1,0.024254,0.895993,0.628341,0.695233,0.14305492,0.07955654,22.836404,0.04150304,0,18,0.04504843,1,0,0,6.4922398,4.1190372
151,2018,F51,立信,闫保瑞,2,1,6.9177056,4.5108595,0.09009901,0.73993333,0,1,4,1,0,6,0,0,0,1,0,0,1,0.038664,0.711887,0.911669,0.536344,0.35117708,0.01637485,21.492267,-0.42980835,0,18,-0.15271617,1,1,0,6.2245584,3.8177123
153,2017,C27,北京中证天通,吴冬冬,2,1,6.7855876,4.3567088,0.08813559,0.4315,0,0,6,0,0,1,0,0,0,1,0,0,1,0.023611,1.10352,0.734193,0.559038,0.37249827,0.00912153,21.741288,0.26770246,0,17,0.01893082,1,0,0,6.0924405,3.6635616
153,2018,C27,北京中证天通,刘阳阳,2,1,6.8762646,4.3438054,0.07946336,0.4335,0,0,7,0,0,0,0,0,1,1,0,0,1,0.020182,1.84206,0.687311,0.570549,0.36573141,0.01625149,21.824541,0.16884101,0,18,0.07765714,1,0,0,6.1831174,3.6506582
155,2018,C26,天健,张超,2,0,7.4109519,5.0689042,0.09613059,0.39922727,0,1,3,1,0,4,0,0,0,1,0,0,1,0.056845,1.58115,2.77982,0.475944,0.18585937,0.03225627,22.701372,-0.34368374,0,18,0.08931416,1,1,0,6.7178047,4.375757
156,2017,R86,天健,江娟,2,1,6.8090393,4.5538769,0.10485651,0.395,0,1,9,1,1,13,1,1,1,1,0,1,1,0.044465,0.882504,3.19565,0.280398,0.04840613,0.00281217,23.391902,0.0415827,0,17,0.08762592,1,1,0,6.1158921,3.8607297
156,2018,R86,天健,李艳婷,2,1,6.8772961,4.7791235,0.12268041,0.384,0,1,10,1,1,8,0,0,1,1,0,0,1,0.043605,1.29971,3.22826,0.27721,0.05111558,0.00436276,23.416079,0.07063405,0,18,0.08088321,1,1,0,6.1841489,4.0859763
157,2017,C35,天职国际,周睿,6,3,8.1542127,5.4071718,0.06411731,0.51203333,0,1,8,0,0,10,1,0,0,1,1,1,1,0.015009,2.38664,2.17228,0.540256,0.36701704,0.01594893,25.143901,0.16233609,0,17,0.03428886,1,0,1,6.3624532,3.6154123
157,2018,C35,天职国际,周睿,4,2,7.719574,4.9199809,0.06083481,0.568625,0,1,9,0,0,11,1,0,0,1,1,1,1,0.020936,3.36194,1.53472,0.585172,0.34769938,0.00841305,25.260764,0.23304576,0,18,0.05418682,1,0,1,6.3332796,3.5336866
301,2018,C28,立信,董舒,3,1,7.389564,4.4659081,0.05373687,0.49277778,0,1,1,1,1,20,1,0,0,0,0,1,1,0.024245,1.07159,0.623323,0.410016,0.14131051,0.00138828,23.883394,2.0552244,0,18,0.05887688,1,1,1,6.2909517,3.3672958
333,2017,C38,普华永道中天,裘小莹,3,1,7.8845765,5.9914645,0.15060241,0.80911111,1,0,3,1,1,9,1,0,0,1,0,0,1,0.075013,0.682214,1.07638,0.665768,0.1893251,0.01071138,26.16438,0.51349312,0,4,0.09851646,1,0,1,6.7859642,4.8928523
333,2018,C38,普华永道中天,裘小莹,2,1,7.3607399,5.4161004,0.14303878,0.39366667,1,0,4,1,1,10,1,0,0,1,0,0,1,0.082102,1.07956,1.08819,0.649397,0.18594997,0.01126794,26.16438,0.07873725,0,5,0.10565406,1,0,1,6.6675927,4.7229532
338,2016,C36,安永华明,游瑾,4,1,7.3815019,5.42495,0.14134496,0.1765,1,0,6,1,1,7,1,0,0,1,0,0,1,0.02193,4.11765,1.02263,0.728267,0.16724607,0.00500636,25.823077,0.264021,0,9,0.05031028,1,0,1,5.9952075,4.0386557
338,2017,C36,安永华明,游瑾,4,0,7.4324838,5.42495,0.13431953,0.38975,1,0,7,1,1,8,1,0,0,1,0,0,1,0.048399,2.84328,1.02569,0.702829,0.17624821,0.00452245,25.968383,0.62656442,0,10,0.08573351,1,0,1,6.0461894,4.0386557
338,2018,C36,安永华明,游瑾,4,0,7.548556,5.3798974,0.11433087,0.391,1,0,8,1,1,9,1,0,0,1,0,0,1,0.056635,3.33356,0.986619,0.696705,0.16480081,0.00529603,26.047621,0.05071618,0,11,0.1084473,1,0,1,6.1622616,3.993603
400,2017,C38,立信,孙念韶,1,1,5.9939614,3.8918203,0.12219451,0.73663889,0,1,2,1,0,0,0,0,0,1,0,0,1,0.044536,1.15105,1.59018,0.469273,0.71023746,0.00751986,23.451688,0.07533161,0,20,-0.0022825,1,1,0,5.9939614,3.8918203
400,2018,C38,中审华,曹会芬,1,1,6.2538288,3.5553481,0.06730769,0.7765,0,0,1,0,1,4,0,0,0,1,0,0,1,0.018777,1.62616,1.69772,0.426969,0.69637439,0.00950652,23.402705,-0.20464809,0,21,0.03177906,1,0,0,6.2538288,3.5553481
401,2018,C30,信永中和,黄婷婷,2,1,7.1236728,4.7361984,0.0918614,0.66933333,0,1,10,1,1,1,1,0,0,1,0,0,1,0.041289,3.71611,0.738327,0.615594,0.06860377,0.01307054,24.850292,1.0176035,0,22,0.10534313,1,1,1,6.4305256,4.0430513
402,2017,K70,致同,郭丽娟,4,1,7.5251007,4.3944492,0.04368932,0.40964167,0,1,1,0,1,11,1,1,0,1,0,0,1,0.032765,3.77076,0.661536,0.730814,0.50451009,0.00845167,25.553306,0.28544439,0,21,-0.05793451,1,0,0,6.1388064,3.0081548
402,2018,K70,致同,吴玮,3,2,7.2442275,3.5263605,0.02885408,0.55737778,0,1,2,0,1,19,1,0,1,0,0,0,1,0.027184,7.16021,0.59688,0.749551,0.52479445,0.01656576,25.724033,-0.13346687,0,22,-0.06079119,1,0,0,6.1456152,2.4277482
403,2017,C27,致同,党小民,2,1,6.9819347,4.060443,0.0538533,0.4185,0,1,6,0,0,22,0,1,0,1,1,0,1,0.011544,0.162959,0.442321,0.589444,0.36322024,0.01472677,21.001337,0.22124221,0,21,-0.02719418,0,0,0,6.2887875,3.3672958
